word_id,word,variants,ja,audio,audio_out
w_say,say,,言う,say.mp3,済
w_sec,sec,,"ちょっと（=a sec, 一瞬）",sec.mp3,済
w_seriously,seriously,,真剣に、まじで,seriously.mp3,済
w_sharpen,sharpen,,削る、研ぐ,sharpen.mp3,済
w_sit,sit,,座る,sit.mp3,済
w_skill,skill,,スキル、技能,skill.mp3,済
w_sleepy,sleepy,,眠い,sleepy.mp3,済
w_slow,slow,,遅い、ゆっくりな,slow.mp3,済
w_someone,someone,,誰か,someone.mp3,済
w_something,something,,何か,something.mp3,済
w_sorry,sorry,,ごめんなさい、気の毒で,sorry.mp3,済
w_spicy,spicy,,辛い、スパイシーな,spicy.mp3,済
w_spirit,spirit,,精神、気持ち,spirit.mp3,済
w_start,start,,始める、始まる,start.mp3,済
w_stuff,stuff,,もの、こと,stuff.mp3,済
w_sunny,sunny,,晴れた,sunny.mp3,済
w_super,super,,すごく、超,super.mp3,済
w_surprise,surprise,,驚かせる（surprisedは驚いた）,surprise.mp3,済
w_text,text,,メッセージ、文章,text.mp3,済
w_textbook,textbook,,教科書,textbook.mp3,済
w_thank,thank,,感謝する,thank.mp3,済
w_though,though,,〜だけれども,though.mp3,済
w_time,time,,時間、〜回,time.mp3,済
w_ton,ton,,トン、たくさん（a ton of）,ton.mp3,済
w_totally,totally,,完全に、めっちゃ,totally.mp3,済
w_train,train,,電車、トレーニングする,train.mp3,済
w_travel,travel,,旅行する、移動する,travel.mp3,済
w_try,try,,試す、やってみる,try.mp3,済
w_umbrella,umbrella,,傘,umbrella.mp3,済
w_violin,violin,,バイオリン,violin.mp3,済
w_wait,wait,,待つ,wait.mp3,済
w_way,way,,方法、道,way.mp3,済
w_wear,wear,,身につける、着る,wear.mp3,済
w_which,which,,どちら、どれ,which.mp3,済
w_whoa,whoa,,うわっ、おっと,whoa.mp3,済
w_will,will,,〜するつもり、〜だろう,will.mp3,済
w_win,win,,勝つ,win.mp3,済
w_winter,winter,,冬,winter.mp3,済
w_world,world,,世界,world.mp3,済
w_worry,worry,,心配する,worry.mp3,済
w_wrong,wrong,,間違った、悪い,wrong.mp3,済
w_yeah,yeah,,うん、そうだね,yeah.mp3,済
w_yourself,yourself,,あなた自身,yourself.mp3,済
w_zoo,zoo,,動物園,zoo.mp3,済
w_broken,broken,,壊れた、壊された,broken.mp3,済
w_made,made,,つくった,made.mp3,済
w_told,told,,言った、伝えた,told.mp3,済
w_woke,woke,,起きた、目を覚ました,woke.mp3,済
w_able,able,,〜できる,able.mp3,済
w_afraid,afraid,,怖がって、心配して,afraid.mp3,済
w_almost,almost,,ほとんど、もう少しで,almost.mp3,済
w_alone,alone,,一人で,alone.mp3,済
w_anytime,anytime,,いつでも,anytime.mp3,済
w_apologize,apologize,,謝る,apologize.mp3,済
w_away,away,,離れて、向こうへ,away.mp3,済
w_baby,baby,,赤ちゃん,baby.mp3,済
w_because,because,,なぜなら、〜だから,because.mp3,済
w_better,better,,より良い、もっと（good/wellの比較級）,better.mp3,済
w_board,board,,板、ボード、黒板,board.mp3,済
w_brave,brave,,勇敢な,brave.mp3,済
w_care,care,,気にする、世話をする,care.mp3,済
w_classmate,classmate,,クラスメート,classmate.mp3,済
w_close,close,,閉める、近い,close.mp3,済
w_collect,collect,,集める,collect.mp3,済
w_cook,cook,,料理する,cook.mp3,済
w_could,could,,〜できた、〜かもしれない（canの過去・丁寧）,could.mp3,済
w_cousin,cousin,,いとこ,cousin.mp3,済
w_dead,dead,,死んでいる,dead.mp3,済
w_decide,decide,,決める,decide.mp3,済
w_dice,dice,,サイコロ,dice.mp3,済
w_dollar,dollar,,ドル,dollar.mp3,済
w_door,door,,ドア、扉,door.mp3,済
w_down,down,,下に、下へ,down.mp3,済
w_drive,drive,,運転する,drive.mp3,済
w_enjoy,enjoy,,楽しむ,enjoy.mp3,済
w_enough,enough,,十分な、十分に,enough.mp3,済
w_everyone,everyone,,みんな、全員,everyone.mp3,済
w_family,family,,家族,family.mp3,済
w_faster,faster,,より速く、もっと速い（fastの比較級）,faster.mp3,済
w_favorite,favorite,,お気に入りの、一番好きな,favorite.mp3,済
w_fire,fire,,火、火事,fire.mp3,済
w_floor,floor,,床、階,floor.mp3,済
w_forget,forget,,忘れる,forget.mp3,済
